team,shots,goals,xG,against_shots,against_goals,against_xG
Manchester_City,602.0,94.0,87.5468477671966,294.0,33.0,35.495651508681476
Arsenal,596.0,88.0,81.363066569902,342.0,43.0,46.43951691221446
Manchester_United,594.0,58.0,75.74508742708713,480.0,43.0,51.70642548147589
Newcastle_United,575.0,68.0,83.38727551419288,390.0,33.0,44.09502522367984
Liverpool,610.0,75.0,85.09102913178504,371.0,47.0,58.97577587934211
Brighton,617.0,72.0,84.13641863968223,394.0,53.0,56.97241372987628
Aston_Villa,432.0,51.0,53.06513203680515,433.0,46.0,59.011824421118945
Tottenham,522.0,70.0,60.437069546896964,520.0,63.0,53.026400515809655
Brentford,410.0,58.0,62.64052318222821,562.0,46.0,55.60994510445744
Fulham,431.0,55.0,51.374790051952004,506.0,53.0,76.09509134711698
Crystal_Palace,427.0,40.0,43.76600298844278,459.0,49.0,55.09286420047283
Chelsea,483.0,38.0,53.08860981464386,441.0,47.0,58.29535513930023
Wolverhampton_Wanderers,416.0,31.0,38.416544328443706,557.0,58.0,64.12520449981093
West_Ham,475.0,42.0,52.75659039057791,501.0,55.0,56.926895789802074
Bournemouth,357.0,37.0,40.80111336475238,627.0,71.0,72.09495181264356
Nottingham_Forest,370.0,38.0,42.292273403611034,557.0,68.0,69.67875737557188
Everton,430.0,34.0,51.04135813936591,573.0,57.0,69.68157005030662
Leeds,464.0,48.0,51.998012396506965,529.0,78.0,71.88791078515351
Leicester,419.0,51.0,51.5329648591578,578.0,68.0,65.14319821633399
Southampton,414.0,36.0,39.73569872695953,530.0,73.0,69.8616302870214
